SMILES,PID,Polymer Class
*C*,P010001,Polyolefins
*CC(*)C,P010002,Polyolefins
*CC(*)CC,P010003,Polyolefins
*CC(*)CCC,P010004,Polyolefins
*CC(*)C(C)C,P010006,Polyolefins
*CC(*)CCCC,P010007,Polyolefins
*CC(*)CC(C)C,P010008,Polyolefins
*CC(*)CCCCC,P010009,Polyolefins
*CC(*)CCC(C)C,P010010,Polyolefins
*CC(*)CCC(C)CC,P010011,Polyolefins
*CC(*)CCCCCCC,P010012,Polyolefins
*CC(*)CCCCCCCC,P010013,Polyolefins
*CC(*)(C)C,P010014,Polyolefins
*CC(*)(C)CC,P010015,Polyolefins
*CCC(*)(C)C,P010016,Polyolefins
*CC(C)C(*)(C)C,P010017,Polyolefins
*CCCC(*)(C)C,P010018,Polyolefins
*CCCC(*)(C)CC,P010019,Polyolefins
*CCCCCCCC(*)C,P010020,Polyolefins
*CC(*)C1CC1,P010021,Polyolefins
*CC(*)C1CCC1,P010022,Polyolefins
*CC(*)C1CCCC1,P010023,Polyolefins
*CC(*)CC1CCCC1,P010024,Polyolefins
*CC(*)C1CCCCC1,P010025,Polyolefins
*CC(*)CC1CCCCC1,P010026,Polyolefins
*CC(*)Cc1ccccc1,P010027,Polyvinyls
*CC(*)CCc1ccccc1,P010028,Polyvinyls
*CC(*)C(C)c1ccccc1,P010029,Polyvinyls
*CC1CCC(*)C1,P010033,Polyolefins
*CC(*)CCCCCC,P010040,Polyolefins
*CC(*)CCCCCCCCCC,P010042,Polyolefins
*CC(*)CCCCCCCCCCCC,P010043,Polyolefins
*CC(*)CCCCCCCCCCCCCCCC,P010044,Polyolefins
*CC(*)CCCC(C)C,P010048,Polyolefins
*CC(*)C(C)CC,P010049,Polyolefins
*CC(*)C(CC)CC,P010050,Polyolefins
*CC(*)CC(CC)CC,P010051,Polyolefins
*CC(*)CC(C)CC,P010052,Polyolefins
*CC(*)CC(C)(C)C,P010055,Polyolefins
*CC(*)CC(C)(C)CC,P010056,Polyolefins
*CC(*)CCCC(C)(C)C,P010057,Polyolefins
